-----+- ADTS Frame Table -+------+
 NUM | Profile | Frequency| Size |
-----+---------+----------+------+
    0|       LC|   44100Hz|   371|
    1|       LC|   44100Hz|   372|
    2|       LC|   44100Hz|   371|
    3|       LC|   44100Hz|   372|
    4|       LC|   44100Hz|   371|
    5|       LC|   44100Hz|   372|
    6|       LC|   44100Hz|   371|
    7|       LC|   44100Hz|   372|
    8|       LC|   44100Hz|   371|
    9|       LC|   44100Hz|   372|
   10|       LC|   44100Hz|   371|
   11|       LC|   44100Hz|   372|
   12|       LC|   44100Hz|   371|
   13|       LC|   44100Hz|   372|
   14|       LC|   44100Hz|   371|
   15|       LC|   44100Hz|   372|
   16|       LC|   44100Hz|   371|
   17|       LC|   44100Hz|   372|
   18|       LC|   44100Hz|   371|
   19|       LC|   44100Hz|   372|
   20|       LC|   44100Hz|   371|
   21|       LC|   44100Hz|   372|
   22|       LC|   44100Hz|   371|
   23|       LC|   44100Hz|   372|
   24|       LC|   44100Hz|   371|
   25|       LC|   44100Hz|   372|
   26|       LC|   44100Hz|   372|
   27|       LC|   44100Hz|   371|
   28|       LC|   44100Hz|   372|
   29|       LC|   44100Hz|   371|
   30|       LC|   44100Hz|   372|
   31|       LC|   44100Hz|   371|
   32|       LC|   44100Hz|   372|
   33|       LC|   44100Hz|   371|
   34|       LC|   44100Hz|   372|
   35|       LC|   44100Hz|   371|
   36|       LC|   44100Hz|   372|
   37|       LC|   44100Hz|   371|
   38|       LC|   44100Hz|   372|
   39|       LC|   44100Hz|   371|
   40|       LC|   44100Hz|   372|
   41|       LC|   44100Hz|   371|
   42|       LC|   44100Hz|   372|
   43|       LC|   44100Hz|   371|
   44|       LC|   44100Hz|   372|
   45|       LC|   44100Hz|   371|
   46|       LC|   44100Hz|   372|
   47|       LC|   44100Hz|   371|
   48|       LC|   44100Hz|   372|
   49|       LC|   44100Hz|   371|
   50|       LC|   44100Hz|   372|
   51|       LC|   44100Hz|   372|
   52|       LC|   44100Hz|   371|
   53|       LC|   44100Hz|   372|
   54|       LC|   44100Hz|   371|
   55|       LC|   44100Hz|   372|
   56|       LC|   44100Hz|   371|
   57|       LC|   44100Hz|   372|
   58|       LC|   44100Hz|   371|
   59|       LC|   44100Hz|   372|
   60|       LC|   44100Hz|   371|
   61|       LC|   44100Hz|   372|
   62|       LC|   44100Hz|   371|
   63|       LC|   44100Hz|   372|
   64|       LC|   44100Hz|   371|
   65|       LC|   44100Hz|   372|
   66|       LC|   44100Hz|   371|
   67|       LC|   44100Hz|   372|
   68|       LC|   44100Hz|   371|
   69|       LC|   44100Hz|   372|
   70|       LC|   44100Hz|   371|
   71|       LC|   44100Hz|   372|
   72|       LC|   44100Hz|   371|
   73|       LC|   44100Hz|   372|
   74|       LC|   44100Hz|   371|
   75|       LC|   44100Hz|   372|
   76|       LC|   44100Hz|   371|
   77|       LC|   44100Hz|   372|
   78|       LC|   44100Hz|   372|
   79|       LC|   44100Hz|   371|
   80|       LC|   44100Hz|   372|
   81|       LC|   44100Hz|   371|
   82|       LC|   44100Hz|   372|
   83|       LC|   44100Hz|   371|
   84|       LC|   44100Hz|   372|
   85|       LC|   44100Hz|   371|
   86|       LC|   44100Hz|   372|
   87|       LC|   44100Hz|   371|
